id	title	abstract	year	journal	citations
10	Neural Speed Controller Trained Online by Means of Modified RPROP Algorithm	In this paper, the synthesis and the properties of the neural speed controller trained online are presented. The structure of the controller and the training algorithm are described. The resilient backpropagation (RPROP) algorithm was chosen for the training process of the artificial neural network (ANN). The algorithm was modified in order to improve controller operation. The specific properties of the controller, i.e., adaptation and auto-tuning, are illustrated by the results of both simulation and experimental research. An electric drive with permanent magnet synchronous motor (PMSM) was chosen for experimental research, due to its impressive dynamics. The obtained results indicate that the presented controller may be implemented in industrial applications. © 2005-2012 IEEE.	2015	IEEE Transactions on Industrial Informatics	55
11	A Modified Fuzzy Luenberger Observer for a Two-Mass Drive System	In this paper, issues related to the design of a fuzzy Luenberger observer for a drive system with a flexible joint is presented. The proposed estimator ensures shifting observer closed-loop poles in accordance with the present condition of the plant. The dynamic states are recognized on the basis of the error between the plant and estimator outputs (classical approach), as well as additional signal (difference between electromagnetic, and shaft torque and its derivative). Depending on these signals, the fuzzy systems determine the location of the observer poles. The proposed control structure is investigated through a number of experimental tests. © 2005-2012 IEEE.	2015	IEEE Transactions on Industrial Informatics	53
12	Identification of a Proton-Exchange Membrane Fuel Cell's Model Parameters by Means of an Evolution Strategy	This paper presents the parameter identification of an equivalent circuit-based proton-exchange membrane fuel cell model. This model is represented by two electrical circuits, of which one reproduces the fuel cell's output voltage characteristic and the other its thermal characteristic. The output voltage model includes activation, concentration, and ohmic losses, which describe the static properties, while the double-layer charging effect, which delays in fuel and oxygen supplies, and other effects provide the model's dynamic properties. In addition, a novel thermal model of the studied Ballard's 1.2-kW Nexa fuel cell is proposed. The latter includes the thermal effects of the stack's fan, which significantly improve the model's accuracy. The parameters of both, the electrical and the thermal, equivalent circuits were estimated on the basis of experimental data using an evolution strategy. The resulting parameters were validated by the measurement data obtained from the Nexa module. The comparison indicates a good agreement between the simulation and the experiment. In addition to simulations, the identified model is also suitable for usage in real-time fuel cell emulators. The emulator presented in this paper additionally proves the accuracy of the obtained model and the effectiveness of using an evolution strategy for identification of the fuel cell's parameters. © 2005-2012 IEEE.	2015	IEEE Transactions on Industrial Informatics	58
13	A model-driven approach on object-oriented PLC programming for manufacturing systems with regard to usability	This paper presents the modular automation for reuse in manufacturing systems (modAT4rMS) approach to support the model-driven engineering (MDE) of object-oriented manufacturing automation software with regard to its usability and software modularity. With usability, we refer to the aspects' effectiveness, efficiency, and user acceptance as defined by ISO 9241-11. The modAT4rMS notations are based on selected features from the unified modeling language (UML) and the systems modeling language (SysML), and iteratively further developed by a series of empirical studies with industrial practitioners, as well as mechatronics trainees. With modAT4rMS, an MDE approach for programmable logic controller (PLC) programming was developed with the goal to facilitate modular object-oriented programming of PLC software by improving the representation of the relationships between the structure and behavior diagram types, and by reducing the level of abstraction in the structure model. modAT4rMS notations for PLC software structure and software behavior modeling are presented and illustrated with a modeling example using a modAT4rMS editor prototype. For the evaluation of the developed notations, the results from a study with 168 participants are presented, showing the benefits of this new approach in comparison with the classic procedural paradigm (IEC 61131-3) and the domain-specific UML profile (plcML) in regard to programming performance and usability aspects. Finally, the advantages and limitations of the approach are discussed, and an outlook for further development is given. © 2005-2012 IEEE.	2015	IEEE Transactions on Industrial Informatics	28
14	Diffraction-compensating coded aperture for inspection in manufacturing	In this paper, we adopt the coded aperture technique to the alignment process for industrial machinery. As a special setting for assembly and inspection, such machinery uses an illumination of narrow wavelength range for imaging with less aberration. This leads to significant influence of light diffraction on the image restoration. Although the diffraction was treated as negligible in most previous studies of coded aperture since they were carried out for natural images, the aperture patterns of them do not achieve enough accuracy for the alignment. We optimize the aperture pattern by performing a simulation of light diffraction, and we experimentally show that it achieves better performance in the alignment. © 2014 IEEE.	2015	IEEE Transactions on Industrial Informatics	5
15	Strategies and services for energy efficiency in real-time ethernet networks	The IEEE 802.3az amendment to the Ethernet standard, referred to as energy-efficient Ethernet (EEE), encompasses the new low power Idle operational mode that allows to strongly decrease the energy consumption of inactive links. The introduction of EEE in real-time industrial communications represents an interesting topic currently addressed by the scientific community, as well as by some standardization bodies. The outcomes of these activities are promising, since effective EEE strategies can be devised, and are able to cope with the very tight timing requirements of industrial communication. Unfortunately, the proposed analyses do not address implementation issues that, conversely, represent a crucial aspect in this scenario. Hence, in this paper, we specifically focus on practical issues concerned with the adoption of EEE strategies by real-time Ethernet (RTE) networks. At first, we address the use of commercially available network components and describe a measurement setup that can be adopted to achieve the adequate characterization of such components. Furthermore, we show that, in an RTE perspective, link activations/deactivations should be independently managed by suitably designed EEE strategies at the application level. Consequently, we defined a set of network services that have to be made available in the device drivers. Hence, we consider a generic RTE network and discuss methods for the practical implementation of those EEE strategies. A performance assessment carried out via theoretical models as well as numerical simulations shows that EEE strategies can be effectively implemented with considerable power savings at the expense of only minimal performance degradation. © 2015 IEEE.	2015	IEEE Transactions on Industrial Informatics	11
16	Virtualization as a way to distribute PC-based functionalities	Virtualization theory is well known and successfully used in the computer domain. Personal computer (PC) workstations, as well as their virtual counterparts, are popular for general purposes. PC stations are also popular in networked control systems (NCSs). They are used as system components to deliver user interfaces and to run many important services of the data processing, communication, and database type. In this paper, the usage of virtual PC machines (VMs) is considered in the context of interoperability with NCS. This specific application area requests answers whether virtualization is applicable and secure, and what are the expectations from the temporal characteristics of running services. © 2014 IEEE.	2015	IEEE Transactions on Industrial Informatics	3
17	Energy-efficient intrusion detection and mitigation for networked control systems security	This paper proposes an energy-efficient security-aware architecture for wireless control systems to be used in factory automation. We face deception attacks that corrupt commands and measurements in a smart way and with intermittent behavior to produce the highest damage without being discovered. The intrusion is hard to distinguish from normal disturbance. Furthermore, protection against attacks is energy-consuming and it would be desirable to activate protection only when needed. We propose packet-based selective encryption to reduce energy consumption, and to detect when an attack starts and ends. Since energy consumption depends also on packet transmission rate, especially during attacks, we also propose to adapt it according to instantaneous control performance. © 2015 IEEE.	2015	IEEE Transactions on Industrial Informatics	21
18	Machine learning for predictive maintenance: A multiple classifier approach	"In this paper, a multiple classifier machine learning (ML) methodology for predictivemaintenance (PdM) is presented. PdM is a prominent strategy for dealing with maintenance issues given the increasing need to minimize downtime and associated costs. One of the challenges with PdM is generating the so-called ""health factors,"" or quantitative indicators, of the status of a system associated with a given maintenance issue, and determining their relationship to operating costs and failure risk. The proposed PdM methodology allows dynamical decision rules to be adopted for maintenance management, and can be used with high-dimensional and censored data problems. This is achieved by training multiple classification modules with different prediction horizons to provide different performance tradeoffs in terms of frequency of unexpected breaks and unexploited lifetime, and then employing this information in an operating cost-based maintenance decision system to minimize expected costs. The effectiveness of the methodology is demonstrated using a simulated example and a benchmark semiconductor manufacturing maintenance problem. © 2014 IEEE."	2015	IEEE Transactions on Industrial Informatics	398
19	Implementation and evaluation of the reference broadcast infrastructure synchronization protocol	This paper describes reference broadcast infrastructure synchronization (RBIS), a clock synchronization protocol for IEEE 802.11 infrastructure wireless networks. The protocol is especially tailored for industrial and home automation networks, and inmany application contexts, it offers several advantages compared with other solutions targeted at similar purposes. RBIS has been conceived to rely on conventional Wi-Fi equipment and, in particular, on unmodified access points. It is based on the master/slave approach and follows the receiver/receiver paradigm. An implementation of RBIS-carried out completely in software and based on timestamps taken at the interrupt handler level-has been developed, which achieves a synchronization error below 3 μs. Then, a simple distributed hard real-time control application has been set up, which consists in two PCs running real-time application interface for Linux (RTAI) and connected through Wi-Fi. The actuation error, measured on the generation of synchronous pulses, is strictly below 13 μs. © 2015 IEEE.	2015	IEEE Transactions on Industrial Informatics	36
20	Wireless sensor networks - Node localization for various industry problems	Fast and effective monitoring following airborne releases of toxic substances is critical to mitigate risks to threatened population areas. Electrically powered systems in industrial settings require monitoring of emitted electromagnetic fields to determine the status of the equipment and ensure their safe operation. In situations such as these, wireless sensor nodes (WSNs) at fixed predetermined locations provide monitoring to ensure safety. A challenging algorithmic problem is determining the locations to place these WSNs while meeting several criteria: 1) to provide complete coverage of the domain; 2) to create a topology with problem-dependent node densities; and 3) to minimize the number of WSNs. This paper presents a novel approach, advancing front mesh generation with constrained Delaunay triangulation and smoothing (AFECETS) that addresses these criteria. A unique aspect of AFECETS is the ability to determine WSN locations for areas of high interest (hospitals, schools, and high population density areas) that require higher density of nodes for monitoring environmental conditions, a feature that is difficult to find in other research work. The AFECETS algorithm was tested on several arbitrary shaped domains. AFECETS simulation results show that the algorithm provides significant reduction in the number of nodes, in some cases over 40%, compared with an advancing front mesh generation algorithm; maintains and improves optimal spacing between nodes; and produces simulation run times suitable for real-time applications. © 2015 IEEE.	2015	IEEE Transactions on Industrial Informatics	51
21	Notes on feasibility and optimality conditions of small-scale multifunction robotic cell scheduling problems with pickup restrictions	Optimization of robotic workcells is a growing concern in automated manufacturing systems. This study develops a methodology to maximize the production rate of a multifunction robot (MFR) operating within a rotationally arranged robotic cell. An MFR is able to perform additional special operations while in transit between transferring parts from adjacent processing stages. Considering the free-pickup scenario, the cycle time formulas are initially developed for small-scale cells where an MFR interacts with either two or three machines. A methodology for finding the optimality regions of all possible permutations is presented. The results are then extended to the no-wait pickup scenario in which all parts must be processed from the input hopper to the output hopper, without any interruption either on or between machines. This analysis enables insightful evaluation of the productivity improvements of MFRs in real-life robotized workcells. ©2014 IEEE.	2015	IEEE Transactions on Industrial Informatics	14
22	Priority-driven swapping-based scheduling of aperiodic real-time messages over EtherCAT networks	Real-time Ethernet (RTE) technologies are becoming increasingly popular, as they provide high bandwidth and are able to meet the requirements of industrial real-time communications. Among RTE protocols, the EtherCAT standard is suitable for motion control and closed-loop control applications, which require very short cycle times. As EtherCAT was specifically devised for periodic traffic, aperiodic real-time transmissions are far from being efficient, as they entail long cycle times. To overcome this limitation, this paper presents a general framework for priority-driven swapping (PdS)-based scheduling of aperiodic real-time messages over EtherCAT networks, which uniformly covers both dynamic and static priority and allows for very short cycle times. This paper provides a description of the PdS framework, a schedulability analysis for both static priority and dynamic priority scheduling, and simulative assessments obtained through OMNeT++ simulations. © 2014 IEEE.	2015	IEEE Transactions on Industrial Informatics	20
23	Comments on bridging service-oriented architecture and IEC 61499 for flexibility and interoperability	In the paper by W. Dai et al. [2015], a formal mapping between IEC 61499 and service-oriented architecture (SOA) is presented, and an SOA-based execution environment architecture is described. In this comment, we discuss the mapping and the execution environment architecture, as well as the suggested potentials for exploiting those. We present specific arguments and make cases that call the authors' claims into question. © 2005-2012 IEEE.	2017	IEEE Transactions on Industrial Informatics	7
24	Response to Comments on Bridging Service-Oriented Architecture and IEC 61499 for Flexibility and Interoperability	Service-oriented architecture is increasingly applied in industrial cyber-physical systems to provide better flexibility and interoperability between various systems and devices. In the previous work ([3]) a service-based execution environment for IEC 61499 is proposed to enhance flexibility and interoperability in distributed automation systems. In this paper, we discuss questions raised by some readers, for example, performance overhead of the proposed method. Also, other clarifications are made in order to address possible confusions expressed in the received comments. &copy; 2005-2012 IEEE.	2017	IEEE Transactions on Industrial Informatics	2
25	Bridging service-oriented architecture and IEC 61499 for flexibility and interoperability	In recent years, requirements for interoperability, flexibility, and reconfigurability of complex automation industry applications have increased dramatically. The adoption of service-oriented architectures (SOAs) could be a feasible solution to meet these challenges. The IEC 61499 standard defines a set of management commands, which provides the capability of dynamic reconfiguration without affecting normal operation. In this paper, a formal model is proposed for the application of SOAs in the distributed automation domain in order to achieve flexible automation systems. Practical scenarios of applying SOA in industrial automation are discussed. In order to support the SOA IEC 61499 model, a service-based execution environment architecture is proposed. One main characteristic of flexibility-dynamic reconfiguration-is also demonstrated using a case study example. © 2015 IEEE.	2015	IEEE Transactions on Industrial Informatics	83
26	Compact low power wireless gas sensor node with thermo compensation for ubiquitous deployment	Wireless sensor networks (WSNs) have recently been applied for industrial monitoring, including combustible and flammable gases monitoring. In this work, we present a wireless gas sensor node in which a widely used Wheatstone sensing circuit based on two sensors is exchanged with a single sensor circuit, as well as the associate gas measurement procedure. The core of the measurement procedure is the four-stage heating profile, which enables low power consumption of sensing circuit and thermo compensation adjustment. A thermo compensation algorithm is capable of avoiding the effect of the environmental temperature on the measurements by keeping stable zero-offset within ±1 mV and ensuring low absolute error within 0.1% vol. The thorough design of the sensor node allows it to fit into the 5.5 cm3 packaging, which ensures its true ubiquitous deployment in outdoor and industrial environment. © 2015 IEEE. Personal use is permitted, but republication/redistribution requires IEEE permission.	2015	IEEE Transactions on Industrial Informatics	45
27	On hierarchical power scheduling for the macrogrid and cooperative microgrids	Although considerable advances have been made in single microgrid (MG) systems, the problem of cooperation among MGs and the macrogrid has attracted considerable interest only recently. As in wireless communications systems, exploiting the temporal, spatial, and technological diversities in multiple cooperative MGs could bring about more efficient power generation and distribution. This paper investigates a hierarchical power scheduling approach to optimally manage power trading, storage, and distribution in a smart power grid with a macrogrid and cooperative MGs. We first formulate the problem as a convex optimization problem and then decompose it into a two-tier formulation. The first-tier problem jointly considers user utility, transmission cost, and grid load variance, while the second-tier problem minimizes the power generation and transmission cost, and exploits distributed storage in the MGs. We develop an effective online algorithm to solve the first-tier problem and prove its asymptotic optimality, as well as a distributed optimal algorithm for solving the second-tier problem. The proposed algorithms are evaluated with trace-driven simulations and are shown to outperform several existing schemes with considerable gains. © 2015 IEEE. Personal use is permitted, but republication/redistribution requires IEEE permission.	2015	IEEE Transactions on Industrial Informatics	118
28	A game theory-based energy management system using price elasticity for smart grids	Distributed devices in smart grid systems are decentralized and connected to the power grid through different types of equipment transmit, which will produce numerous energy losses when power flows from one bus to another. One of the most efficient approaches to reduce energy losses is to integrate distributed generations (DGs), mostly renewable energy sources. However, the uncertainty of DG may cause instability issues. Additionally, due to the similar consumption habits of customers, the peak load period of power consumption may cause congestion in the power grid and affect the energy delivery. Energy management with DG regulation is considered to be one of the most efficient solutions for solving these instability issues. In this paper, we consider a power system with both distributed generators and customers, and propose a distributed locational marginal pricing (DLMP)-based unified energy management system (uEMS) model, which, unlike previous works, considers both increasing profit benefits for DGs and increasing stability of the distributed power system (DPS). The model contains two parts: 1) a game theory-based loss reduction allocation (LRA); and 2) a load feedback control (LFC) with price elasticity. In the former component, we develop an iterative loss reduction method using DLMP to remunerate DGs for their participation in energy loss reduction. By using iterative LRA to calculate energy loss reduction, the model accurately rewards DG contribution and offers a fair competitive market. Furthermore, the overall profit of all DGs is maximized by utilizing game theory to calculate an optimal LRA scheme for calculating the distributed loss of every DG in each time slot. In the latter component of the model, we propose an LFC submodel with price elasticity, where a DLMP feedback signal is calculated by customer demand to regulate peak-load value. In uEMS, LFC first determines the DLMP signal of a customer bus by a time-shift load optimization (LO) algorithm based on the changes of customer demand, which is fed back to the DLMP of the customer bus at the next slot-time, allowing for peak-load regulation via price elasticity. Results based on the IEEE 37-bus feeder system show that the proposed uEMS model can increase DG benefits and improve system stability. © 2015 IEEE. Personal use is permitted, but republication/redistribution requires IEEE permission.	2015	IEEE Transactions on Industrial Informatics	121
29	Fully distributed social welfare optimization with line flow constraint consideration	This paper proposes a fully distributed social welfare optimization solution that solves the economic dispatch and demand response problems in an integrated way. Compared with sequentially implementing these two operations one after another, the integrated solution can efficiently maximize the benefits of customers and minimize the generation cost of generators simultaneously. By adjusting both generations and dispatchable loads, line flow constraints and generation bounds can be satisfied easier. The proposed solution has two layers of operations for consensusbased information discovery and gradient-based generation or demand adjustment, respectively. It is fully distributed in the sense that there is no need for a specialized/central controller to coordinate the operations of the autonomous local controllers (agents). Compared with centralized solutions, the multiagent-systembased distributed solution is more reliable against single-point failures and can better accommodate customer participation. The proposed solution has been tested with a 5-bus system and the IEEE 30-bus system under light- and heavy-load conditions. Both static optimization and dynamic simulation results are provided to demonstrate the performance of the proposed solution. © 2015 IEEE. Personal use is permitted, but republication/redistribution requires IEEE permission.	2015	IEEE Transactions on Industrial Informatics	29
30	Event-based distributed filtering with stochastic measurement fading	In this paper, we investigate the distributed filtering problem over wireless sensor networks (WSNs) with bandwidth and energy constraints. To utilize the limited resources efficiently, a novel event-based mechanism is proposed for the sensor node, such that only selected valuable data are broadcasted to its neighboring sensors via the wireless channel according to whether specific events happen. By resorting to graph theory and utilizing stochastic analysis methods, the filter parameters and the event triggering rules are designed, such that the filtering error converges at an exponential rate in the mean square sense. An adaptive algorithm for determining the triggering threshold is developed, which allows the intelligent sensors to tune the boundary of a local event domain in an online manner, so as to keep the average transmission rate level off a desired value. An illustrative example is given to demonstrate the effectiveness of the proposed strategy. © 2015 IEEE. Personal use is permitted, but republication/redistribution requires IEEE permission.	2015	IEEE Transactions on Industrial Informatics	63
31	An incentivized auction-based group-selling approach for demand response management in V2G systems	Vehicle-to-grid (V2G) system with efficient demand response management (DRM) is critical to solve the problem of supplying electricity by utilizing surplus electricity available at electric vehicles (EVs). An incentivized DRM approach is studied to reduce the system cost and maintain the system stability. EVs are motivated with dynamic pricing determined by the groupsellingbased auction. In the proposed approach, a number of aggregators sit on the first-level auction responsible to communicate with a group of EVs. EVs as bidders consider quality of energy (QoE) requirements, and report interests and decisions on the bidding process coordinated by the associated aggregator. Auction winners are determined based on the bidding prices and the amount of electricity sold by the EV bidders. We investigate the impact of the proposed mechanism on the system performance with maximum feedback power constraints of aggregators. The designed mechanism is proven to have essential economic properties. Simulation results indicate that the proposed mechanism can reduce the system cost and offer EVs significant incentives to participate in the V2G DRM operation. © 2015 IEEE. Personal use is permitted, but republication/redistribution requires IEEE permission.	2015	IEEE Transactions on Industrial Informatics	54
32	Fast distributed demand response with spatially and temporally coupled constraints in smart grid	As the next generation power grid, smart grid is characterized as an informationized system, and demand response is one of its important features to deal with the ever-increasing peak energy usage. However, the supply capacity and required demand make the demand response problem with both spatially and temporally coupled constraints, which, to the best of our knowledge, has not been thoroughly investigated in a distributed manner. The complexity lies in how to guarantee privacy and convergence of distributed algorithms. Aiming at this challenge, in this paper, we first propose a distributed algorithm, which is based on dual decomposition and does not require each user to reveal his/her private information. Then, the convergence analysis is conducted to provide guidance on how to choose the proper step size; through which, we notice that the convergence speed of the subgradient projection method is not fast enough and it is highly dependent on the choice of the step size. Therefore, to increase the convergence rate of the distributed algorithm, we further propose a fast approach based on binary search. Finally, the distributed algorithms are illustrated by numerical simulations and the extensive comparison results validate the better performance of the fast approach. © 2015 IEEE. Personal use is permitted, but republication/redistribution requires IEEE permission.	2015	IEEE Transactions on Industrial Informatics	59
33	COPE: Improving energy efficiency with coded preambles in low-power sensor networks	Energy efficiency is one of the most important factors that affect the applicability of wireless sensor networks (WSNs) in many practical scenarios. Many low-power media access control (MAC) protocols have been proposed in the past decade to improve the energy efficiency of sensor nodes. In these lowpower MAC protocols, preambles are widely used to wake up the receivers asynchronizely. However, the data delivery potential of these preambles has not been exploited. In this paper, we propose a coded preamble (COPE), which exploits the data delivery potential of preambles by encoding the preambles by network coding. COPE has two salient features. First, a passive receiver set selection scheme enables nodes to decide whether to receive the overheard preamble packets, without introducing extra communication overhead. Second, COPE supports multiple routing primitives, such as unicast and broadcast, making it be a versatile 2.5 layer between the low-power link layer (layer 2) and the network layer (layer 3). We analyze COPE by a novel analytical model. Results show that COPE is able to improve the energy efficiency of both unicast and broadcast significantly. We also implement COPE in TinyOS/TelosB platform and evaluate its energy efficiency. Results show that COPE significantly reduces the radio-ON-time in practical network settings. © 2015 IEEE. Personal use is permitted, but republication/redistribution requires IEEE permission.	2015	IEEE Transactions on Industrial Informatics	14
34	Optimal household appliances scheduling under day-ahead pricing and load-shaping demand response strategies	In this paper, a detailed home energy management system structure is developed to determine the optimal dayahead appliance scheduling of a smart household under hourly pricing and peak power-limiting (hard and soft power limitation)-based demand response strategies. All types of controllable assets have been explicitly modeled, including thermostatically controllable (air conditioners and water heaters) and nonthermostatically controllable (washing machines and dishwashers) appliances, together with electric vehicles (EVs). Furthermore, an energy storage system (ESS) and distributed generation at the end-user premises are taken into account. Bidirectional energy flow is also considered through advanced options for EV and ESS operation. Finally, a realistic test-case is presented with a sufficiently reduced time granularity being thoroughly discussed to investigate the effectiveness of the model. Stringent simulation results are provided using data gathered from real appliances and real measurements. © 2015 IEEE. Personal use is permitted, but republication/redistribution requires IEEE permission.	2015	IEEE Transactions on Industrial Informatics	272
35	Energy-efficient dynamic packet downloading for medical IoT platforms	This paper proposes a polynomial-time algorithm for energy-efficient dynamic packet downloading from medical cloud storage to medical Internet-of-Things (IoT) devices. The medical cloud can distribute its own medical data to medical IoT devices via access points. Therefore, network disconnection can happen between the medical cloud and medical IoT devices when power/energy management in each access point is not efficient. This situation is especially harmful in in-hospital network architectures, because the architecture usually has strict requirements in terms of reliability. Therefore, this paper proposes a dynamic energy-efficient algorithm, which computes the amount of power allocation in each access point based on the buffer backlog size and channel states under the consideration of buffer stability. With the proposed adaptive algorithm, each access point calibrates its own parameters for more adaptive power/energy management. The performance of the proposed algorithm is evaluated in terms of network lifetime, and it is observed that the proposed algorithm achieves the desired performance. © 2015 IEEE. Personal use is permitted, but republication/redistribution requires IEEE permission.	2015	IEEE Transactions on Industrial Informatics	48
