id	term	label
107	bald eagle search | (BES)	keyword
108	battery energy storage system | (BESS)	keyword
109	battery energy storage systems | (BESSs)	keyword
110	blast furnace | (BF)	keyword
111	biological information | (BI)	keyword
112	building information model | (BIM)	keyword
113	based Internet of Things | (BIoT)	keyword
114	Basic Method | (BM)	keyword
115	based MCS system | (BMCS)	keyword
116	based machine learning framework for edge services | (BML-ES)	keyword
117	biased minimax probability machine | (BMPM)	keyword
118	building management system | (BMS)	keyword
119	Bridge modular switched-capacitor converter | (BMSCC)	keyword
120	Bayesian networks | (BNs)	keyword
121	Bayesian optimization | (BO)	keyword
122	blood pressure | (BP)	keyword
123	blockchain-assisted privacy-preserving authentication system | (BPAS)	keyword
124	based privacy-aware distributed collection | (BPDC)	keyword
125	base station | (BS)	keyword
126	bilinear strong Diffie-Hellman | (BSDH)	keyword
127	body sensor network | (BSN)	keyword
128	body sensor networks | (BSNs)	keyword
129	blind source separation | (BSS)	keyword
130	battery swapping stations | (BSSs)	keyword
131	Barely visible impact damage | (BVID)	keyword
132	binary zigzag decoding | (BZD)	keyword
133	bidirectional long short-term memory | (Bi-LSTM)	keyword
134	blockchain-orchestrated edge intelligence | (BoEI)	keyword
135	command and control | (C&C)	keyword
136	controller to actuator | (C-A)	keyword
137	cyber-enabled ship | (C-ES)	keyword
138	compound transmission control protocol | (C-TCP)	keyword
139	Classifier 4.5 | (C4.5)	keyword
140	Continuous authentication | (CA)	keyword
141	customized access module | (CA-Module)	keyword
142	coupling autoencoder | (CAE)	keyword
143	Computer Aided Engineering Exchange | (CAEX)	keyword
144	controller area network | (CAN)	keyword
145	controller area network with flexible data-rate | (CAN FD)	keyword
146	correlation aware scheduling | (CAS)	keyword
147	Customer baseline load | (CBL)	keyword
148	Condition-based maintenance | (CBM)	keyword
149	cognitive computing | (CC)	keyword
150	canonical correlation analysis | (CCA)	keyword
151	circular cross-correlation | (CCC)	keyword
152	charge-coupled Device | (CCD)	keyword
153	chance constrained dynamic optimization | (CCDO)	keyword
154	chance constrained dynamic optimization problems | (CCDOPs)	keyword
155	coordination control policies | (CCP)	keyword
156	Cross-Device Federated Learning | (CDFL)	keyword
157	cell division genetic algorithm | (CDGA)	keyword
158	computational differ-hellman | (CDH)	keyword
159	cooperative demand response | (CDR)	keyword
160	connected dominating set | (CDS)	keyword
161	channel estimation | (CE)	keyword
162	cooperative evolutionary algorithm | (CEA)	keyword
163	credit evaluation chaincode | (CEC)	keyword
164	Critical energy infrastructure | (CEI)	keyword
165	closed-form expressions | (CFEs)	keyword
166	composite failure precursor | (CFP)	keyword
167	carbon fiber reinforced plastic | (CFRP)	keyword
168	Carbon fiber reinforced plastics | (CFRPs)	keyword
169	clustering technique by fast search and find of density peaks | (CFSFDP)	keyword
170	computable general equilibrium | (CGE)	keyword
171	computer generated holograms | (CGHs)	keyword
172	chameleon hash | (CH)	keyword
173	combined heat and power | (CHP)	keyword
174	Charging infrastructure | (CI)	keyword
175	Cognitive-inspired Internet of Medical Things | (CI-IoMT)	keyword
176	confident information coverage | (CIC)	keyword
177	CIC hole healing | (CICHH)	keyword
178	cognitive industrial Internet of Things | (CIIoT)	keyword
179	Cognitive industrial system | (CIS)	keyword
180	cognitive Internet of Vehicles | (CIoV)	keyword
181	cooperative jamming | (CJ)	keyword
182	certificateless provable data possession | (CL-PDP)	keyword
183	controllable load aggregators | (CLAs)	keyword
184	cooperative link prediction model | (CLPM)	keyword
185	cross-level parallel network | (CLPNet)	keyword
186	certificateless signature | (CLS)	keyword
187	curve-level structure tensor | (CLST)	keyword
188	controllable loads | (CLs)	keyword
189	cloud manufacturing | (CM)	keyword
190	collaborative mobile clouds | (CMC)	keyword
191	constrained Markov decision process | (CMDP)	keyword
192	complementary metal oxide semiconductor | (CMOS)	keyword
193	cloud manufacturing service ecosystem | (CMSE)	keyword
194	carnegie mellon university | (CMU)	keyword
195	Cloud manufacturing | (CMfg)	keyword
196	Computerized numerical control | (CNC)	keyword
197	cross-network fusion and scheduling | (CNFS)	keyword
198	convolutional neural network | (CNN)	keyword
199	convolutional neural networks | (CNNs)	keyword
200	control | (CNT)	keyword
201	center of gravity | (COG)	keyword
202	coded preamble | (COPE)	keyword
203	coronavirus disease 2019 | (COVID-19)	keyword
204	critical path | (CP)	keyword
205	Cyber-physical cloud systems | (CPCS)	keyword
206	cyber-physical cloud systems | (CPCSs)	keyword
207	cyber-physical energy systems | (CPESs)	keyword
208	Cyber-physical Internet of things system | (CPIoTS)	keyword
209	clustering with particle for object detection | (CPOD)	keyword
210	cyber-physical production systems | (CPPS)	keyword
211	classification of predicted residuals | (CPRs)	keyword
212	cyber-physical systems | (CPS)	keyword
213	cyber-physical systems | (CPSs)	keyword
214	Central Processing Unit | (CPU)	keyword
215	client-based personalized k-anonymity | (CPkA)	keyword
216	Computing resource | (CR)	keyword
217	computation resource allocation | (CRA)	keyword
218	cyclic redundancy check | (CRC)	keyword
219	Clustering routing protocol | (CRP)	keyword
220	computation reloading scheme driven by spatial-temporal mobility | (CRSM)	keyword
221	cloud-assisted reliable trust computing | (CRTC)	keyword
222	CR utilization | (CRU)	keyword
223	compressive sensing | (CS)	keyword
224	constraints satisfying A∗ | (CSA)	keyword
225	channel status information | (CSI)	keyword
226	compressive sensing image enhancement framework using multiple reconstructed signals | (CSIE-M)	keyword
227	context-sensitive seamless identity provisioning | (CSIP)	keyword
228	carrier sense multiple access/collision avoidance | (CSMA/CA)	keyword
229	Camera sensor networks | (CSNs)	keyword
230	cloud service provider | (CSP)	keyword
231	cloud service providers | (CSPs)	keyword
232	Consistent Stream Reservation Protocol | (CSRP)	keyword
233	charging stations | (CSs)	keyword
234	computed tomography | (CT)	keyword
235	cycle time forecasting | (CTF)	keyword
236	cophase traction power supply system | (CTPSS)	keyword
237	current unbalance factor | (CUF)	keyword
238	Cardiovascular diseases | (CVDs)	keyword
239	cloud-assisted WSNs | (CWSNs)	keyword
240	code wait to be verified | (CWV)	keyword
241	cost-efficient computation offloading | (CeCO)	keyword
242	cloud prediction engine | (Cloud-PE)	keyword
243	compacted directed acyclic graph | (CoDAG)	keyword
244	computational shear interferometry | (CoSI)	keyword
245	concurrent static and dynamic assessment | (ConSDA)	keyword
246	CNN-based resource optimization approach | (CroApp)	keyword
247	distribution-locational marginal prices | (D-LMPs)	keyword
248	distribution phasor measurement unit | (D-PMU)	keyword
249	difference between the concave function | (D.C.)	keyword
250	domain adaptation | (DA)	keyword
251	dynamic authentication credential | (DAC)	keyword
252	deep adaptive fuzzy clustering algorithm | (DAFC)	keyword
253	day-ahead market | (DAM)	keyword
254	domain adaption network | (DAN)	keyword
255	DAN retraining | (DAN-R)	keyword
256	dynamic adaptive replacement policy | (DARP)	keyword
257	dependency-aware task allocation | (DATA)	keyword
258	Decisional Bilinear Diffie-Hellman | (DBDH)	keyword
259	deep coupling autoencoder | (DCAE)	keyword
260	deep convolutional computation model | (DCCM)	keyword
261	deep class centres uniform distribution neural network | (DCCUD)	keyword
262	decentralized computation offloading strategy | (DCOS)	keyword
263	Depth cuboid similarity features | (DCSFs)	keyword
264	discrete cosine transform | (DCT)	keyword
265	data centers | (DCs)	keyword
266	dual disturbances observers | (DDOs)	keyword
267	deep deterministic policy gradient | (DDPG)	keyword
268	deep reinforcement learning-based dynamic resource management | (DDRM)	keyword
269	deep double supervised embedding neural network | (DDSE)	keyword
270	distributed denial of service | (DDoS)	keyword
271	Differential evolution | (DE)	keyword
272	decentralized energy pickup | (DEP)	keyword
273	distributed energy resource | (DER)	keyword
274	distributed energy resources | (DERs)	keyword
275	distributed energy storage system | (DESS)	keyword
276	directed edge weight prediction model | (DEWP)	keyword
277	dynamic frame packing | (DFP)	keyword
278	deep federated Q-learning | (DFQL)	keyword
279	distributed generation | (DG)	keyword
280	Digital holography | (DH)	keyword
281	detecting illegal behavior | (DIB)	keyword
282	distributed intrusion detection system | (DIDS)	keyword
283	digital twin edge networks | (DITENs)	keyword
284	diabetic ketoacidosis | (DKA)	keyword
285	deep learning | (DL)	keyword
286	distributed multilevel | (DM)	keyword
287	digital micromirror devices | (DMDs)	keyword
288	dynamic multipath privacy-preserving routing | (DMPPR)	keyword
289	delay-minimized routing | (DMR)	keyword
290	deep neural network | (DNN)	keyword
291	deep neural networks | (DNNs)	keyword
292	distribution network operator | (DNO)	keyword
293	deterministic network transmission | (DNT)	keyword
294	deep learning-based one-class intrusion detection scheme | (DO-IDS)	keyword
295	direction-of-arrival | (DOA)	keyword
296	disturbance observer | (DOB)	keyword
297	depth of discharge | (DOD)	keyword
298	degree-of-freedom | (DOF)	keyword
299	dynamic orchestration of SFC | (DOS)	keyword
300	differential privacy | (DP)	keyword
301	distributed parallel cooperative coevolutionary multiobjective evolutionary algorithm | (DPCCMOEA)	keyword
302	dynamic pricing based double auction | (DPDA)	keyword
303	data-based predictive hybrid driven control | (DPHDC)	keyword
304	delegated proof of stake | (DPoS)	keyword
305	deep Q-network | (DQN)	keyword
306	demand response | (DR)	keyword
307	Dynamic random access memory | (DRAM)	keyword
308	deep reinforcement learning | (DRL)	keyword
309	demand response management | (DRM)	keyword
310	detection rate of normal requests | (DRN)	keyword
311	deep recurrent neural network | (DRNN)	keyword
312	distributionally robust optimization | (DRO)	keyword
313	dynamic resource provisioning method | (DRPM)	keyword
314	distributed real-time scheduling | (DRTS)	keyword
315	dead reckoning with dynamic errors | (DRWDEs)	keyword
316	dynamic spectrum access | (DSA)	keyword
317	Daily and Sports Activity Dataset | (DSAD)	keyword
318	design space exploration | (DSE)	keyword
319	dynamic scanning eddy current pulsed thermography | (DSECPT)	keyword
320	distributed service framework | (DSF)	keyword
321	Demand side management | (DSM)	keyword
322	Deep stacking network | (DSN)	keyword
323	distribution system operators | (DSO)	keyword
324	distribution system operators | (DSOs)	keyword
325	Dynamic searchable symmetric encryption | (DSSE)	keyword
326	deep supervised t-stochastic neighbor embedding neural network | (DSSNE)	keyword
327	dynamic SSO | (DSSO)	keyword
328	decision support systems | (DSSs)	keyword
329	distribution static compensator | (DSTATCOM)	keyword
330	Dezert-Smarandache theory | (DSmT)	keyword
331	Digital twin | (DT)	keyword
332	deep transfer learning | (DTL)	keyword
333	dislocated time series CNN | (DTS-CNN)	keyword
334	digital twin wireless networks | (DTWN)	keyword
335	D2D user equipments | (DUEs)	keyword
336	deep variational autoencoder | (DVAE)	keyword
337	dynamic voltage and frequency scaling | (DVFS)	keyword
338	directed weighted networks | (DWNs)	keyword
339	Dynamic wireless sensor networks | (DWSNs)	keyword
340	data collection | (DaaC)	keyword
341	densely connected convolutional networks | (DenseNet)	keyword
342	dense random neural network | (DnRaNN)	keyword
343	denial-of-service | (DoS)	keyword
344	Dynamic Limiting | (DynLim)	keyword
345	enabled Industrial Internet of Things | (E-IIoT)	keyword
346	efficient web APIs recommendation | (E-WAR)	keyword
347	electric aircraft | (EA)	keyword
348	exponential analytic stationary subspace analysis | (EASSA)	keyword
349	energy blockchain | (EBC)	keyword
350	electromagnetic band-gap | (EBG)	keyword
351	equivalent battery life loss cost | (EBLLC)	keyword
352	electric buses | (EBs)	keyword
353	edge computing | (EC)	keyword
354	energy consumption cost | (ECC)	keyword
355	energy carrier demand response | (ECDR)	keyword
356	edge computing devices | (ECDs)	keyword
357	electrocardiogram | (ECG)	keyword
358	edge cooperative network | (ECN)	keyword
359	Eddy current pulsed thermography | (ECPT)	keyword
360	energy-cost-per-useful-bit | (ECPUB)	keyword
361	edge computing server | (ECS)	keyword
362	electronic control unit | (ECU)	keyword
363	electronic control units | (ECUs)	keyword
364	energy detector | (ED)	keyword
365	ensemble deep learning based web attack detection system | (EDL-WADS)	keyword
366	energy data owners | (EDOs)	keyword
367	experimentable digital twins | (EDTs)	keyword
368	energy-based detector | (EED)	keyword
369	Ethernet | (EEE)	keyword
370	Electroencephalography | (EEG)	keyword
371	electric elasticity limit | (EEL)	keyword
372	Energy harvesting | (EH)	keyword
373	EH cooperative wireless sensor networks | (EHC-WSNs)	keyword
374	energy harvesting and gain-based resource allocation | (EHGRA)	keyword
375	electronic health record | (EHR)	keyword
376	edge-intelligent service placement algorithm | (EISPA)	keyword
377	equal interval and unequal quantity | (EIUQ)	keyword
378	energy-Aware load balancing and scheduling | (ELBS)	keyword
379	extreme learning machine | (ELM)	keyword
380	event-based load shedding | (ELS)	keyword
381	energy management | (EM)	keyword
382	expectation maximization particle filter | (EM-PF)	keyword
383	empirical mode decomposition | (EMD)	keyword
384	electromyography | (EMG)	keyword
385	electric mining haul trucks | (EMHTs)	keyword
386	Exact Multigraph Matching Search | (EMMS)	keyword
387	Extremal MultiObjective Genetic Algorithm | (EMOGA)	keyword
388	electronic medical records | (EMRs)	keyword
389	Emergency medical services | (EMS)	keyword
390	electromagnetic transients program | (EMTP)	keyword
391	empirical orthogonal function | (EOF)	keyword
392	erasure property | (EP)	keyword
393	Ethernet Powerlink | (EPL)	keyword
394	energy-neutral and QoS-Aware protocol | (EQP)	keyword
395	Energy router | (ER)	keyword
396	energy routers | (ERs)	keyword
397	energy storage | (ES)	keyword
398	Endoscopic submucosal dissection | (ESD)	keyword
399	Echo state network | (ESN)	keyword
400	edge service provider | (ESP)	keyword
401	edge-aided searchable public-key encryption | (ESPE)	keyword
402	edge service providers | (ESPs)	keyword
403	energy storage system | (ESS)	keyword
404	energy storage unit | (ESU)	keyword
405	edge servers | (ESs)	keyword
406	energy trading | (ET)	keyword
407	event-Triggered sampling | (ETS)	keyword
408	electric vehicle | (EV)	keyword
409	electric vehicle aggregator | (EVA)	keyword
410	electric vehicle batteries | (EVBs)	keyword
411	effective voltage control source | (EVCS)	keyword
412	electric vehicles | (EVs)	keyword
413	empirical wavelet transform | (EWT)	keyword
414	edge prediction engine | (Edge-PE)	keyword
415	eye-movement and iris recognition based authentication | (EmIr-Auth)	keyword
416	fog access points | (F-APs)	keyword
417	fog computing-enabled IIoT | (F-IIoT)	keyword
418	firefly algorithm | (FA)	keyword
419	flexible ac transmission system | (FACTS)	keyword
420	flexible air-breathing hypersonic vehicles | (FAHVs)	keyword
421	fault and attack location and classification | (FALCON)	keyword
422	flying ad hoc network | (FANET)	keyword
423	fresh agricultural products | (FAPs)	keyword
424	false alarm rate | (FAR)	keyword
425	fuel cell/battery hybrid vehicles | (FCHVs)	keyword
426	Fuzzy C-Mean | (FCM)	keyword
427	fuzzy core vector machine | (FCVM)	keyword
428	fog devices | (FD)	keyword
429	fault detection and diagnosis | (FDD)	keyword
430	fault detection filter | (FDF)	keyword
431	False data injection | (FDI)	keyword
432	false data injection attack | (FDIA)	keyword
433	False data injection attacks | (FDIAs)	keyword
434	feature decoding module | (FDM)	keyword
435	flow-enabled distributed mobility anchoring | (FDMA)	keyword
436	fuzzy disturbance observer | (FDO)	keyword
437	FEderated Deep rEinforcement leaRning-based multi-lAyer multi-Timescale multi-dImensional resOurce allocatioN algorithm | (FEDERATION)	keyword
438	fitness evaluation mechanism | (FEM)	keyword
439	Fourier filter | (FF)	keyword
440	finite-time fault estimator | (FFE)	keyword
441	finite-time fault estimator based fault-tolerance control | (FFE-FTC)	keyword
442	fast Fourier transform | (FFT)	keyword
443	fully homomorphic encryption | (FHE)	keyword
444	fairness index | (FI)	keyword
445	flexible industrial demand | (FID)	keyword
446	federated learning | (FL)	keyword
447	frequency modulated continuous wave | (FMCW)	keyword
448	failure modes, effects, and criticality analysis | (FMECA)	keyword
449	fused magnesia smelting process | (FMSP)	keyword
450	fast NITSM | (FNITSM)	keyword
451	fuzzy neural network | (FNN)	keyword
452	false-negative rate | (FNR)	keyword
453	fog nodes | (FNs)	keyword
454	Field of view | (FOV)	keyword
455	false positive | (FP)	keyword
456	field-programmable gate array | (FPGA)	keyword
457	Frequency response analysis | (FRA)	keyword
458	fuzzy-based real-time autoscaling | (FRAS)	keyword
459	fuzzy relative entropy | (FRE)	keyword
460	frequency response traces | (FRTs)	keyword
461	feature selection | (FS)	keyword
462	flare soot density recognition network | (FSDR-Net)	keyword
463	few-shot learning model with Siamese convolutional neural network | (FSL-SCNN)	keyword
464	fast steering mirrors | (FSMs)	keyword
465	federated tensor decomposition | (FTD)	keyword
466	Fourier transform IR | (FTIR)	keyword
467	federated tensor mining | (FTM)	keyword
468	forwarding and time-slotted channel hopping scheduling over SDN | (FTS-SDN)	keyword
469	fast terminal sliding mode control | (FTSMC)	keyword
470	femtocell users | (FUEs)	keyword
471	fetal ultrasound standard plane recognition | (FUSPR)	keyword
472	fingerprint-weighting KNN | (FWKNN)	keyword
473	fuzzy weighted with zero inconsistency | (FWZIC)	keyword
474	file-centric multi-key aggregate keyword searchable encryption | (Fc-MKA-KSE)	keyword
475	Fog computing-based radio access network | (Fog-RAN)	keyword
476	fuzzy v-support vector machine | (Fv-SVM)	keyword
477	genetic algorithm | (GA)	keyword
478	genetic algorithm combined with ANN | (GA-ANN)	keyword
479	genetic algorithm back propagation neural network | (GABP)	keyword
480	Generative Adversarial Imitation Learning | (GAIL)	keyword
481	generative adversarial models | (GAMs)	keyword
482	generative adversarial network | (GAN)	keyword
483	generating adversarial examples with shadow model | (GASM)	keyword
484	gradient boosting decision tree | (GBDT)	keyword
485	global context feature editing module | (GCFEM)	keyword
486	generalized correntropy loss | (GCL)	keyword
487	graph convolutional network for code clone detection | (GCN-CC)	keyword
488	gated dual attention unit | (GDAU)	keyword
489	guidance based deep deterministic policy gradient | (GDDPG)	keyword
490	global efficiency | (GE)	keyword
491	Graphene-based Energy Cooperation Management | (GECM)	keyword
492	Grid-connected electric vehicles | (GEVs)	keyword
493	greedy forwarding pattern | (GFP)	keyword
494	Gath-Geva fuzzy clustering | (GGFC)	keyword
495	Gaussian mixture model | (GMM)	keyword
496	generalized multiperiod economic dispatch | (GMPED)	keyword
497	generalized neural continual learning-based cybertwin | (GNC)	keyword
498	graph neural networks | (GNN)	keyword
499	graph neural network-based social recommendation framework | (GNN-SoR)	keyword
500	general-purpose optimized initial parameters | (GOIP)	keyword
501	Gaussian process | (GP)	keyword
502	green parallel online offloading algorithm | (GPOOA)	keyword
503	general-purpose processor | (GPP)	keyword
504	global positioning system | (GPS)	keyword
505	greedy perimeter stateless routing algorithm | (GPSR)	keyword
506	graphics processing unit | (GPU)	keyword
507	graphics processing units | (GPUs)	keyword
508	grey relational analysis-technique for order of preference by similarity to ideal solution | (GRA-TOPSIS)	keyword
509	gated recurrent unit-recurrent neural network | (GRU-RNN)	keyword
510	Gaussian window | (GW)	keyword
511	grey wolf algorithm | (GWA)	keyword
512	gray wolf optimization | (GWO)	keyword
513	high-altitude platform | (HAP)	keyword
514	high-altitude platform station | (HAPS)	keyword
515	human activity recognition | (HAR)	keyword
516	half-bridge | (HB)	keyword
517	heterogeneous brain storming | (HBS)	keyword
518	hill climbing | (HC)	keyword
519	human cyber-physical systems | (HCPSs)	keyword
520	hybrid charging stations | (HCSs)	keyword
521	high-density EEG | (HD-EEG)	keyword
522	high-density surface electromyogram | (HD-sEMG)	keyword
523	hybrid energy storage systems | (HESS)	keyword
524	hybrid energy systems | (HESs)	keyword
525	high-frequency | (HF)	keyword
526	high-frequency ac | (HFAC)	keyword
527	heterogeneous graph of things | (HGoT)	keyword
528	hydraulic heavy duty manipulators | (HHDMs)	keyword
529	Harris hawks optimization-integer wavelet transform | (HHO-IWT)	keyword
530	health indicator | (HI)	keyword
531	hardware-in-the-loop | (HIL)	keyword
532	health monitoring and diagnosis | (HM&D)	keyword
533	high-order, high-dimension, and sparse tensor | (HOHDST)	keyword
534	high-performance computing | (HPC)	keyword
535	heart rate | (HR)	keyword
536	hot rolling mill | (HRM)	keyword
537	hot strip mill process | (HSMP)	keyword
538	high throughput congestion control | (HTCC)	keyword
539	heavy-tailed mixture | (HTM)	keyword
540	high voltage | (HV)	keyword
541	heating, ventilation, and air-conditioning | (HVAC)	keyword
542	Heating Ventilation and Air Conditioning systems | (HVACs)	keyword
543	hydrogen-powered vehicles | (HVs)	keyword
544	industrial cyber-physical systems | (I-CPS)	keyword
545	input/output | (I/O)	keyword
546	industrial automation and control systems | (IACS)	keyword
547	industrial artificial intelligence | (IAI)	keyword
548	instantaneous angular speed | (IAS)	keyword
549	identity-based seamless privacy preservation | (IB-SPP)	keyword
550	industrial big data | (IBD)	keyword
551	Improved BM | (IBM)	keyword
552	imperialistic competitive algorithm | (ICA)	keyword
553	inductive content augmented network embedding | (ICANE)	keyword
554	iterative closest point | (ICP)	keyword
555	industrial cyber-physical systems | (ICPS)	keyword
556	industrial cyber-physical systems | (ICPSs)	keyword
557	industrial cognitive radio networks | (ICRNs)	keyword
558	industrial control systems | (ICS)	keyword
559	industrial control systems | (ICSs)	keyword
560	information and communications technology | (ICT)	keyword
561	integrated circuits | (ICs)	keyword
562	information decoding | (ID)	keyword
563	Iterative Dichotomiser 3 | (ID3)	keyword
564	intermediate distribution alignment | (IDA)	keyword
565	integrated design and control | (IDC)	keyword
566	improved differential evolution algorithm | (IDE)	keyword
567	intraday demand response exchange | (IDRX)	keyword
568	intrusion detection system | (IDS)	keyword
569	intrusion detection systems | (IDSs)	keyword
570	intelligent devices | (IDs)	keyword
571	information-dependent embedding-based diffusion prediction | (IEDP)	keyword
572	improved Elman neural network | (IENN)	keyword
573	integrated energy system | (IES)	keyword
574	if this then that | (IFTTT)	keyword
575	information greedy feature filter | (IGFF)	keyword
576	improved Gaussian mixture regression | (IGMR)	keyword
577	IP-based Handover/offload system assisted by E-ANDSF | (IHEAD)	keyword
578	iterative Hungarian method with virtual devices | (IHM-VD)	keyword
579	information | (II)	keyword
580	Imitation-based Distributed Coordination | (IIDC)	keyword
581	IIoT equipments | (IIEs)	keyword
582	Internet-of-Things hub | (IIHub)	keyword
583	Induction infrared thermography | (IIT)	keyword
584	Industrial Internet of Things | (IIoT)	keyword
585	Intelligent IoT Healthcare | (IIoTH)	keyword
586	industrial Internet of Things | (IIoTs)	keyword
587	Industrial Internet of unmanned aerial vehicles | (IIoUAVs)	keyword
588	industrial Internet-of-Vehicles | (IIoV)	keyword
589	inside keyword guessing attack | (IKGA)	keyword
590	imitation learning-based flow scheduling | (ILFS)	keyword
591	induction motor | (IM)	keyword
592	IoT mobile devices | (IMDs)	keyword
593	interacting multiple models | (IMMs)	keyword
594	inertial measurement units | (IMUs)	keyword
595	In-band Network Telemetry | (INT)	keyword
596	Internet of Things | (IOT)	keyword
597	identity Protected Console Grid based Authentication and Key Agreement | (IPG-AKA)	keyword
598	interior permanent magnet synchronous motor | (IPMSM)	keyword
599	interphase reactor | (IPR)	keyword
600	improved particle swarm optimization | (IPSO)	keyword
601	Internet protocol television | (IPTV)	keyword
602	improved quantum-behaved particle swarm optimization algorithm | (IQPSO)	keyword
603	Infrared | (IR)	keyword
604	intelligent resilience controller | (IRC)	keyword
605	integrated robust design and robust control | (IRDRC)	keyword
606	infrared thermography | (IRT)	keyword
607	intelligent system | (IS)	keyword
608	intelligent sensing devices | (ISDs)	keyword
609	integral sliding-mode | (ISM)	keyword
610	information technology cum operation technology | (IT/OT)	keyword
611	independent third party | (ITP)	keyword
